Q101161828|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q99726216|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q92639570|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q35223622|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q112588071|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q49727104|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q35341355|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q112717298|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q31121005|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34644956|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33787269|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q35001278|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q38659716|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34046438|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35682361|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34840536|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36003641|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q58698420|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q28756705|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q64054107|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q104470395|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34159574|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36024635|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q64101044|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35052428|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35404530|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34663004|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q33244590|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33389555|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30492757|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q35763446|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q35314318|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q33318718|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34996402|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33616397|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q33234932|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q89661630|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q30391792|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33531517|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33968990|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33373584|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q36340105|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q33326028|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q50287021|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34790185|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q33390464|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q90726854|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q35675954|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q104755420|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q34500172|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q91704213|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
